('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 1, 1),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 28, 10),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 29, 2),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 30, 4),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 31, 8),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 32, 4),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 33, 4),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 34, 2),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 35, 10),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 36, 1),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 37, 10),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 38, 10),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 39, 3),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 40, 8),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 41, 6),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 42, 1),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 37, 1),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 30, 6),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 1, 1),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 33, 8),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 3, 6),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 34, 3),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 27, 7),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 24, 7),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 10, 9),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 39, 8),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 9, 10),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 17, 7),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 18, 2),
('2024-12-11 00:00:00', '2024-12-18 00:00:00', NOW(), NOW(), 40, 9),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 43, 10),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 44, 1),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 22, 6),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 5, 6),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 36, 10),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 32, 2),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 27, 4),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 33, 7),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 3, 8),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 16, 3),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 20, 10),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 7, 3),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 30, 8),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 12, 6),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 11, 10),
('2024-12-12 00:00:00', '2024-12-19 00:00:00', NOW(), NOW(), 28, 4),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 45, 10),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 46, 6),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 27, 9),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 5, 9),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 13, 7),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 41, 10),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 26, 9),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 15, 6),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 33, 1),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 6, 10),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 40, 5),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 25, 3),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 3, 10),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 34, 4),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 31, 1),
('2024-12-13 00:00:00', '2024-12-20 00:00:00', NOW(), NOW(), 4, 8),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 47, 8),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 48, 8),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 42, 3),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 28, 8),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 22, 6),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 20, 10),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 1, 7),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 23, 10),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 32, 8),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 36, 6),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 13, 4),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 25, 6),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 9, 8),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 8, 6),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 29, 7),
('2024-12-16 00:00:00', '2024-12-23 00:00:00', NOW(), NOW(), 37, 7),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 49, 4),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 50, 1),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 51, 1),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 52, 1),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 53, 8),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 54, 8),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 55, 7),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 56, 6),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 57, 1),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 58, 5),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 59, 2),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 60, 3),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 61, 7),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 62, 9),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 63, 10),
('2024-12-17 00:00:00', '2024-12-24 00:00:00', NOW(), NOW(), 64, 4),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 65, 2),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 66, 4),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 14, 6),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 11, 4),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 28, 2),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 8, 9),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 35, 1),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 29, 2),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 37, 2),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 46, 4),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 36, 4),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 1, 2),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 55, 7),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 50, 10),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 23, 2),
('2024-12-18 00:00:00', '2024-12-25 00:00:00', NOW(), NOW(), 41, 9),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 67, 7),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 68, 4),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 47, 5),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 52, 4),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 30, 8),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 39, 7),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 54, 8),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 53, 2),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 59, 6),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 7, 10),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 57, 3),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 18, 6),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 2, 8),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 5, 6),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 62, 7),
('2024-12-19 00:00:00', '2024-12-26 00:00:00', NOW(), NOW(), 55, 3),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 69, 2),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 70, 3),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 27, 3),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 43, 7),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 2, 10),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 68, 5),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 7, 4),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 24, 2),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 20, 10),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 52, 3),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 35, 3),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 65, 1),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 15, 3),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 45, 4),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 54, 7),
('2024-12-20 00:00:00', '2024-12-27 00:00:00', NOW(), NOW(), 66, 1),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 71, 10),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 72, 7),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 44, 8),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 24, 1),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 33, 8),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 66, 1),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 51, 2),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 3, 2),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 39, 8),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 6, 9),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 13, 6),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 26, 8),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 28, 10),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 50, 7),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 65, 8),
('2024-12-23 00:00:00', '2024-12-30 00:00:00', NOW(), NOW(), 40, 4),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 73, 5),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 74, 10),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 75, 3),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 76, 2),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 77, 1),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 78, 2),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 79, 2),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 80, 7),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 81, 3),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 82, 3),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 83, 2),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 84, 2),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 85, 3),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 86, 4),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 87, 7),
('2024-12-24 00:00:00', '2024-12-31 00:00:00', NOW(), NOW(), 88, 5),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 89, 8),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 90, 4),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 22, 4),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 55, 10),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 1, 5),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 7, 2),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 27, 4),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 5, 7),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 64, 3),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 67, 4),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 74, 8),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 31, 5),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 16, 5),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 56, 1),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 18, 2),
('2024-12-25 00:00:00', '2025-01-01 00:00:00', NOW(), NOW(), 73, 6),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 91, 8),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 92, 1),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 38, 6),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 37, 1),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 14, 1),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 31, 4),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 67, 4),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 21, 2),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 51, 4),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 89, 4),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 62, 5),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 6, 5),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 83, 5),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 79, 9),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 25, 1),
('2024-12-26 00:00:00', '2025-01-02 00:00:00', NOW(), NOW(), 71, 9),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 93, 5),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 94, 3),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 76, 9),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 16, 6),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 34, 3),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 32, 1),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 1, 2),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 41, 2),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 43, 7),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 28, 7),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 80, 3),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 55, 9),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 35, 8),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 70, 8),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 57, 6),
('2024-12-27 00:00:00', '2025-01-03 00:00:00', NOW(), NOW(), 37, 3),
('2024-12-30 00:00:00', '2025-01-06 00:00:00', NOW(), NOW(), 95, 9),
('2024-12-30 00:00:00', '2025-01-06 00:00:00', NOW(), NOW(), 96, 7),
('2024-12-30 00:00:00', '2025-01-06 00:00:00', NOW(), NOW(), 14, 2),
('2024-12-30 00:00:00', '2025-01-06 00:00:00', NOW(), NOW(), 71, 1),
('2024-12-30 00:00:00', '2025-01-06 00:00:00', NOW(), NOW(), 90, 1),
('2024-12-30 00:00:00', '2025-01-06 00:00:00', NOW(), NOW(), 74, 8),
